survey_event_id,habitat_type,admin_unit_code,plot_name,date,observer,visit,temperature,humidity,sky,wind,bird_observation_count,unique_species_count
Forest|ANTI|ANTI-0200|2018-06-26|07:27:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0200,2018-06-26,Elizabeth Oswald,2,15.5,89.8000030517578,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,13,12
Forest|ANTI|ANTI-0201|2018-05-24|10:43:00|Brian Swimelar|1,Forest,ANTI,ANTI-0201,2018-05-24,Brian Swimelar,1,25.8999996185303,55.2000007629395,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,13,9
Forest|ANTI|ANTI-0201|2018-06-26|06:38:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0201,2018-06-26,Elizabeth Oswald,2,14.8000001907349,90.9000015258789,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,16,16
Forest|ANTI|ANTI-0206|2018-05-24|10:10:00|Brian Swimelar|1,Forest,ANTI,ANTI-0206,2018-05-24,Brian Swimelar,1,26.5,68.5999984741211,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,14,10
Forest|ANTI|ANTI-0206|2018-06-26|07:11:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0206,2018-06-26,Elizabeth Oswald,2,15.6000003814697,89.4000015258789,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,14,14
Forest|ANTI|ANTI-0207|2018-05-24|10:27:00|Brian Swimelar|1,Forest,ANTI,ANTI-0207,2018-05-24,Brian Swimelar,1,25.5,66.5,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,12,9
Forest|ANTI|ANTI-0207|2018-06-26|06:55:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0207,2018-06-26,Elizabeth Oswald,2,15.3999996185303,91.8000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,16,16
Forest|CATO|CATO-0003|2018-05-25|09:22:00|Elizabeth Oswald|1,Forest,CATO,CATO-0003,2018-05-25,Elizabeth Oswald,1,22.6000003814697,64.0,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,11,11
Forest|CATO|CATO-0003|2018-06-27|08:32:00|Brian Swimelar|2,Forest,CATO,CATO-0003,2018-06-27,Brian Swimelar,2,25.5,70.0,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,9,7
Forest|CATO|CATO-0004|2018-05-25|08:41:00|Elizabeth Oswald|1,Forest,CATO,CATO-0004,2018-05-25,Elizabeth Oswald,1,21.6000003814697,67.6999969482422,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,10,9
Forest|CATO|CATO-0004|2018-06-27|09:10:00|Brian Swimelar|2,Forest,CATO,CATO-0004,2018-06-27,Brian Swimelar,2,27.0,73.4000015258789,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,8,6
Forest|CATO|CATO-0016|2018-05-25|07:31:00|Elizabeth Oswald|1,Forest,CATO,CATO-0016,2018-05-25,Elizabeth Oswald,1,18.7999992370605,70.0,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,11,10
Forest|CATO|CATO-0016|2018-06-27|07:46:00|Brian Swimelar|2,Forest,CATO,CATO-0016,2018-06-27,Brian Swimelar,2,25.2000007629395,71.1999969482422,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,9,8
Forest|CATO|CATO-0022|2018-05-25|08:22:00|Brian Swimelar|1,Forest,CATO,CATO-0022,2018-05-25,Brian Swimelar,1,20.7999992370605,62.2999992370605,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,7,6
Forest|CATO|CATO-0022|2018-06-27|08:37:00|Kimberly Serno|2,Forest,CATO,CATO-0022,2018-06-27,Kimberly Serno,2,22.5,78.4000015258789,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,7,4
Forest|CATO|CATO-0035|2018-05-25|06:50:00|Elizabeth Oswald|1,Forest,CATO,CATO-0035,2018-05-25,Elizabeth Oswald,1,17.7999992370605,73.0,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,13,12
Forest|CATO|CATO-0035|2018-06-27|06:54:00|Brian Swimelar|2,Forest,CATO,CATO-0035,2018-06-27,Brian Swimelar,2,23.5,68.4000015258789,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,8,7
Forest|CATO|CATO-0037|2018-05-25|06:14:00|Elizabeth Oswald|1,Forest,CATO,CATO-0037,2018-05-25,Elizabeth Oswald,1,16.5,78.1999969482422,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,14,14
Forest|CATO|CATO-0037|2018-06-27|06:14:00|Brian Swimelar|2,Forest,CATO,CATO-0037,2018-06-27,Brian Swimelar,2,23.0,63.5999984741211,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,7,7
Forest|CATO|CATO-0049|2018-05-25|05:49:00|Elizabeth Oswald|1,Forest,CATO,CATO-0049,2018-05-25,Elizabeth Oswald,1,16.3999996185303,69.0999984741211,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,9,7
Forest|CATO|CATO-0049|2018-06-27|05:59:00|Brian Swimelar|2,Forest,CATO,CATO-0049,2018-06-27,Brian Swimelar,2,23.1000003814697,63.5999984741211,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,7,6
Forest|CATO|CATO-0062|2018-05-25|05:56:00|Kimberly Serno|1,Forest,CATO,CATO-0062,2018-05-25,Kimberly Serno,1,17.6000003814697,67.5,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,14,12
Forest|CATO|CATO-0062|2018-06-27|05:49:00|Elizabeth Oswald|2,Forest,CATO,CATO-0062,2018-06-27,Elizabeth Oswald,2,21.5,64.6999969482422,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,12,9
Forest|CATO|CATO-0084|2018-05-25|06:21:00|Brian Swimelar|1,Forest,CATO,CATO-0084,2018-05-25,Brian Swimelar,1,16.0,71.8000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,12,10
Forest|CATO|CATO-0084|2018-06-27|06:23:00|Kimberly Serno|2,Forest,CATO,CATO-0084,2018-06-27,Kimberly Serno,2,20.5,72.5999984741211,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,15,10
Forest|CATO|CATO-0086|2018-05-25|06:46:00|Brian Swimelar|1,Forest,CATO,CATO-0086,2018-05-25,Brian Swimelar,1,16.6000003814697,71.4000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,11,8
Forest|CATO|CATO-0086|2018-06-27|06:53:00|Kimberly Serno|2,Forest,CATO,CATO-0086,2018-06-27,Kimberly Serno,2,19.8999996185303,75.8000030517578,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,12,9
Forest|CATO|CATO-0092|2018-05-25|06:27:00|Kimberly Serno|1,Forest,CATO,CATO-0092,2018-05-25,Kimberly Serno,1,17.5,75.8000030517578,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,12,10
Forest|CATO|CATO-0092|2018-06-27|06:23:00|Elizabeth Oswald|2,Forest,CATO,CATO-0092,2018-06-27,Elizabeth Oswald,2,21.6000003814697,71.9000015258789,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,9,8
Forest|CATO|CATO-0094|2018-05-25|07:00:00|Kimberly Serno|1,Forest,CATO,CATO-0094,2018-05-25,Kimberly Serno,1,18.3999996185303,69.6999969482422,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,16,11
Forest|CATO|CATO-0094|2018-06-27|06:59:00|Elizabeth Oswald|2,Forest,CATO,CATO-0094,2018-06-27,Elizabeth Oswald,2,21.2000007629395,71.3000030517578,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,11,7
Forest|CATO|CATO-0098|2018-05-25|07:54:00|Kimberly Serno|1,Forest,CATO,CATO-0098,2018-05-25,Kimberly Serno,1,19.5,66.4000015258789,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,7,6
Forest|CATO|CATO-0098|2018-06-27|07:37:00|Elizabeth Oswald|2,Forest,CATO,CATO-0098,2018-06-27,Elizabeth Oswald,2,19.3999996185303,79.4000015258789,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,13,11
Forest|CATO|CATO-0101|2018-05-25|08:33:00|Kimberly Serno|1,Forest,CATO,CATO-0101,2018-05-25,Kimberly Serno,1,21.5,69.8000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,8,7
Forest|CATO|CATO-0101|2018-06-27|08:21:00|Elizabeth Oswald|2,Forest,CATO,CATO-0101,2018-06-27,Elizabeth Oswald,2,19.6000003814697,83.4000015258789,Cloudy/Overcast,"Gentle breeze (8-12 mph), leaves in motion",8,6
Forest|CATO|CATO-0104|2018-05-25|07:19:00|Brian Swimelar|1,Forest,CATO,CATO-0104,2018-05-25,Brian Swimelar,1,16.6000003814697,71.4000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,9,6
Forest|CATO|CATO-0104|2018-06-27|07:27:00|Kimberly Serno|2,Forest,CATO,CATO-0104,2018-06-27,Kimberly Serno,2,19.8999996185303,77.3000030517578,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,7,7
Forest|CATO|CATO-0150|2018-05-28|07:16:00|Elizabeth Oswald|1,Forest,CATO,CATO-0150,2018-05-28,Elizabeth Oswald,1,17.0,90.5999984741211,Fog,Light breeze (4-7 mph) wind felt on face,10,7
Forest|CATO|CATO-0150|2018-06-28|07:07:00|Brian Swimelar|2,Forest,CATO,CATO-0150,2018-06-28,Brian Swimelar,2,25.5,76.4000015258789,Fog,Light air movement (1-3 mph) smoke drifts,7,6
Forest|CATO|CATO-0153|2018-05-25|07:47:00|Brian Swimelar|1,Forest,CATO,CATO-0153,2018-05-25,Brian Swimelar,1,17.7999992370605,72.0999984741211,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,6,4
Forest|CATO|CATO-0153|2018-06-27|07:53:00|Kimberly Serno|2,Forest,CATO,CATO-0153,2018-06-27,Kimberly Serno,2,20.6000003814697,76.9000015258789,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,8,7
Forest|CATO|CATO-0158|2018-06-13|06:54:00|Brian Swimelar|2,Forest,CATO,CATO-0158,2018-06-13,Brian Swimelar,2,20.7000007629395,73.1999969482422,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,6,4
Forest|CATO|CATO-0160|2018-05-26|06:14:00|Kimberly Serno|1,Forest,CATO,CATO-0160,2018-05-26,Kimberly Serno,1,22.2999992370605,72.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,10,7
Forest|CATO|CATO-0160|2018-06-13|07:23:00|Brian Swimelar|2,Forest,CATO,CATO-0160,2018-06-13,Brian Swimelar,2,20.7000007629395,73.1999969482422,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,3,2
Forest|CATO|CATO-0176|2018-05-26|07:18:00|Kimberly Serno|1,Forest,CATO,CATO-0176,2018-05-26,Kimberly Serno,1,22.0,78.6999969482422,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,12,8
Forest|CATO|CATO-0176|2018-06-13|06:10:00|Brian Swimelar|2,Forest,CATO,CATO-0176,2018-06-13,Brian Swimelar,2,22.6000003814697,72.5999984741211,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,7,7
Forest|CATO|CATO-0206|2018-05-28|06:29:00|Elizabeth Oswald|1,Forest,CATO,CATO-0206,2018-05-28,Elizabeth Oswald,1,17.7999992370605,84.6999969482422,Fog,Light air movement (1-3 mph) smoke drifts,11,9
Forest|CATO|CATO-0206|2018-06-28|06:32:00|Brian Swimelar|2,Forest,CATO,CATO-0206,2018-06-28,Brian Swimelar,2,20.5,83.0999984741211,Fog,Light air movement (1-3 mph) smoke drifts,7,6
Forest|CATO|CATO-0211|2018-05-28|05:57:00|Brian Swimelar|1,Forest,CATO,CATO-0211,2018-05-28,Brian Swimelar,1,17.2000007629395,83.6999969482422,Mist/Drizzle,Calm (< 1 mph) smoke rises vertically,6,5
Forest|CATO|CATO-0211|2018-06-28|05:47:00|Elizabeth Oswald|2,Forest,CATO,CATO-0211,2018-06-28,Elizabeth Oswald,2,21.7000007629395,73.4000015258789,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,8,6
Forest|CATO|CATO-0237|2018-05-26|09:33:00|Kimberly Serno|1,Forest,CATO,CATO-0237,2018-05-26,Kimberly Serno,1,24.5,70.0,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,14,12
Forest|CATO|CATO-0237|2018-06-13|09:28:00|Brian Swimelar|2,Forest,CATO,CATO-0237,2018-06-13,Brian Swimelar,2,20.7000007629395,73.1999969482422,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,10,8
Forest|CATO|CATO-0238|2018-05-28|06:04:00|Elizabeth Oswald|1,Forest,CATO,CATO-0238,2018-05-28,Elizabeth Oswald,1,18.3999996185303,80.4000015258789,Fog,Light breeze (4-7 mph) wind felt on face,6,6
Forest|CATO|CATO-0238|2018-06-28|06:00:00|Brian Swimelar|2,Forest,CATO,CATO-0238,2018-06-28,Brian Swimelar,2,21.7999992370605,77.5,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,5,5
Forest|CATO|CATO-0242|2018-05-26|05:53:00|Brian Swimelar|1,Forest,CATO,CATO-0242,2018-05-26,Brian Swimelar,1,22.6000003814697,70.1999969482422,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,10,8
Forest|CATO|CATO-0242|2018-06-28|05:55:00|Kimberly Serno|2,Forest,CATO,CATO-0242,2018-06-28,Kimberly Serno,2,23.2000007629395,76.0999984741211,Fog,Light air movement (1-3 mph) smoke drifts,12,9
Forest|CATO|CATO-0258|2018-05-26|06:34:00|Brian Swimelar|1,Forest,CATO,CATO-0258,2018-05-26,Brian Swimelar,1,28.0,57.0,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,8,6
Forest|CATO|CATO-0258|2018-06-28|06:28:00|Kimberly Serno|2,Forest,CATO,CATO-0258,2018-06-28,Kimberly Serno,2,23.1000003814697,74.0999984741211,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,13,10
Forest|CATO|CATO-0268|2018-05-28|06:36:00|Brian Swimelar|1,Forest,CATO,CATO-0268,2018-05-28,Brian Swimelar,1,17.3999996185303,83.3000030517578,Mist/Drizzle,Calm (< 1 mph) smoke rises vertically,7,6
Forest|CATO|CATO-0268|2018-06-28|06:31:00|Elizabeth Oswald|2,Forest,CATO,CATO-0268,2018-06-28,Elizabeth Oswald,2,23.2000007629395,81.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,9,7
Forest|CATO|CATO-0271|2018-05-26|08:21:00|Kimberly Serno|1,Forest,CATO,CATO-0271,2018-05-26,Kimberly Serno,1,23.2000007629395,77.5,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,11,9
Forest|CATO|CATO-0271|2018-06-13|08:43:00|Brian Swimelar|2,Forest,CATO,CATO-0271,2018-06-13,Brian Swimelar,2,20.7000007629395,73.1999969482422,Fog,Calm (< 1 mph) smoke rises vertically,6,5
Forest|CATO|CATO-0275|2018-05-26|07:01:00|Brian Swimelar|1,Forest,CATO,CATO-0275,2018-05-26,Brian Swimelar,1,26.2000007629395,59.7999992370605,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,9,6
Forest|CATO|CATO-0275|2018-06-28|07:06:00|Kimberly Serno|2,Forest,CATO,CATO-0275,2018-06-28,Kimberly Serno,2,22.1000003814697,83.3000030517578,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,13,10
Forest|CATO|CATO-0280|2018-05-26|08:53:00|Brian Swimelar|1,Forest,CATO,CATO-0280,2018-05-26,Brian Swimelar,1,24.8999996185303,76.3000030517578,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,7,5
Forest|CATO|CATO-0280|2018-06-28|09:01:00|Kimberly Serno|2,Forest,CATO,CATO-0280,2018-06-28,Kimberly Serno,2,23.7000007629395,83.6999969482422,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,6,4
Forest|CATO|CATO-0294|2018-05-26|08:45:00|Kimberly Serno|1,Forest,CATO,CATO-0294,2018-05-26,Kimberly Serno,1,23.6000003814697,73.8000030517578,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,13,9
Forest|CATO|CATO-0294|2018-06-13|08:16:00|Brian Swimelar|2,Forest,CATO,CATO-0294,2018-06-13,Brian Swimelar,2,20.7000007629395,73.1999969482422,Fog,Light air movement (1-3 mph) smoke drifts,6,5
Forest|CATO|CATO-0302|2018-05-26|07:33:00|Brian Swimelar|1,Forest,CATO,CATO-0302,2018-05-26,Brian Swimelar,1,24.8999996185303,76.8000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,7,6
Forest|CATO|CATO-0302|2018-06-28|08:42:00|Kimberly Serno|2,Forest,CATO,CATO-0302,2018-06-28,Kimberly Serno,2,22.7999992370605,84.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,9,6
Forest|CATO|CATO-0303|2018-05-28|08:48:00|Elizabeth Oswald|1,Forest,CATO,CATO-0303,2018-05-28,Elizabeth Oswald,1,17.3999996185303,92.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,5,5
Forest|CATO|CATO-0303|2018-06-28|08:24:00|Brian Swimelar|2,Forest,CATO,CATO-0303,2018-06-28,Brian Swimelar,2,24.5,79.0,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,6,5
Forest|CATO|CATO-0311|2018-05-28|07:06:00|Brian Swimelar|1,Forest,CATO,CATO-0311,2018-05-28,Brian Swimelar,1,17.1000003814697,84.5999984741211,Mist/Drizzle,Calm (< 1 mph) smoke rises vertically,8,6
Forest|CATO|CATO-0311|2018-06-28|07:00:00|Elizabeth Oswald|2,Forest,CATO,CATO-0311,2018-06-28,Elizabeth Oswald,2,22.2000007629395,88.4000015258789,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,14,13
Forest|CATO|CATO-0313|2018-05-28|08:12:00|Brian Swimelar|1,Forest,CATO,CATO-0313,2018-05-28,Brian Swimelar,1,17.2999992370605,86.8000030517578,Mist/Drizzle,Calm (< 1 mph) smoke rises vertically,4,4
Forest|CATO|CATO-0313|2018-06-28|07:50:00|Elizabeth Oswald|2,Forest,CATO,CATO-0313,2018-06-28,Elizabeth Oswald,2,21.7999992370605,91.8000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,9,7
Forest|CATO|CATO-0316|2018-05-26|08:34:00|Brian Swimelar|1,Forest,CATO,CATO-0316,2018-05-26,Brian Swimelar,1,26.2000007629395,59.7999992370605,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,5,5
Forest|CATO|CATO-0316|2018-06-28|07:41:00|Kimberly Serno|2,Forest,CATO,CATO-0316,2018-06-28,Kimberly Serno,2,22.7000007629395,83.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,11,7
Forest|CATO|CATO-0323|2018-05-28|08:21:00|Elizabeth Oswald|1,Forest,CATO,CATO-0323,2018-05-28,Elizabeth Oswald,1,17.0,89.6999969482422,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,4,4
Forest|CATO|CATO-0323|2018-06-28|07:56:00|Brian Swimelar|2,Forest,CATO,CATO-0323,2018-06-28,Brian Swimelar,2,20.7999992370605,89.4000015258789,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,6,5
Forest|CATO|CATO-0330|2018-05-28|07:29:00|Brian Swimelar|1,Forest,CATO,CATO-0330,2018-05-28,Brian Swimelar,1,17.1000003814697,84.5999984741211,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,8,6
Forest|CATO|CATO-0330|2018-06-28|07:17:00|Elizabeth Oswald|2,Forest,CATO,CATO-0330,2018-06-28,Elizabeth Oswald,2,21.8999996185303,87.0,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,9,9
Forest|CATO|CATO-0331|2018-05-28|07:47:00|Brian Swimelar|1,Forest,CATO,CATO-0331,2018-05-28,Brian Swimelar,1,17.2999992370605,86.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,9,6
Forest|CATO|CATO-0331|2018-06-28|07:34:00|Elizabeth Oswald|2,Forest,CATO,CATO-0331,2018-06-28,Elizabeth Oswald,2,21.3999996185303,89.1999969482422,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,10,9
Forest|CATO|CATO-0333|2018-05-26|08:02:00|Brian Swimelar|1,Forest,CATO,CATO-0333,2018-05-26,Brian Swimelar,1,24.8999996185303,76.9000015258789,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,9,7
Forest|CATO|CATO-0333|2018-06-28|08:11:00|Kimberly Serno|2,Forest,CATO,CATO-0333,2018-06-28,Kimberly Serno,2,22.2999992370605,84.3000030517578,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,9,8
Forest|CATO|CATO-0342|2018-05-28|07:30:00|Kimberly Serno|1,Forest,CATO,CATO-0342,2018-05-28,Kimberly Serno,1,18.0,82.8000030517578,Fog,Light air movement (1-3 mph) smoke drifts,9,9
Forest|CATO|CATO-0342|2018-06-20|08:41:00|Brian Swimelar|2,Forest,CATO,CATO-0342,2018-06-20,Brian Swimelar,2,24.6000003814697,58.0,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,13,10
Forest|CATO|CATO-0346|2018-05-28|06:29:00|Kimberly Serno|1,Forest,CATO,CATO-0346,2018-05-28,Kimberly Serno,1,19.6000003814697,74.3000030517578,Fog,Light air movement (1-3 mph) smoke drifts,10,8
Forest|CATO|CATO-0346|2018-06-20|06:16:00|Brian Swimelar|2,Forest,CATO,CATO-0346,2018-06-20,Brian Swimelar,2,23.0,50.0999984741211,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,9,7
Forest|CATO|CATO-0347|2018-05-28|06:54:00|Kimberly Serno|1,Forest,CATO,CATO-0347,2018-05-28,Kimberly Serno,1,18.6000003814697,77.0,Fog,Light air movement (1-3 mph) smoke drifts,12,10
Forest|CATO|CATO-0347|2018-06-20|06:41:00|Brian Swimelar|2,Forest,CATO,CATO-0347,2018-06-20,Brian Swimelar,2,23.2000007629395,51.7999992370605,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,12,9
Forest|CATO|CATO-0359|2018-05-28|08:24:00|Kimberly Serno|1,Forest,CATO,CATO-0359,2018-05-28,Kimberly Serno,1,17.7999992370605,82.6999969482422,Fog,Light air movement (1-3 mph) smoke drifts,8,7
Forest|CATO|CATO-0359|2018-06-20|07:08:00|Brian Swimelar|2,Forest,CATO,CATO-0359,2018-06-20,Brian Swimelar,2,20.6000003814697,57.9000015258789,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,13,10
